,Week Ending Date,State,Observed Number,Upper Bound Threshold,Average Expected Count,Total Excess Estimate,Percent Excess Estimate
0,2017-01-07,Alabama,1121.0,1136,1059,29153,5.85270037531877
1,2017-01-14,Alabama,1130.0,1140,1067,29153,5.90610178747006
2,2017-01-21,Alabama,1048.0,1142,1071,29153,0.0
3,2017-01-28,Alabama,1026.0,1142,1070,29153,0.0
4,2017-02-04,Alabama,1036.0,1142,1068,29153,0.0
5,2017-02-11,Alabama,1058.0,1136,1062,29153,0.0
6,2017-02-18,Alabama,1060.0,1132,1057,29153,0.283803686094969
7,2017-02-25,Alabama,1099.0,1126,1051,29153,4.5675424163571
8,2017-03-04,Alabama,1081.0,1119,1042,29153,3.74341415007409
9,2017-03-11,Alabama,1011.0,1113,1036,29153,0.0
10,2017-03-18,Alabama,1067.0,1106,1031,29153,3.49228098718691
11,2017-03-25,Alabama,1068.0,1097,1021,29153,4.60151455431771
12,2017-04-01,Alabama,991.0,1090,1014,29153,0.0
13,2017-04-08,Alabama,1037.0,1083,1007,29153,2.98023708492256
14,2017-04-15,Alabama,1017.0,1066,992,29153,2.51915646308231
15,2017-04-22,Alabama,966.0,1058,986,29153,0.0
16,2017-04-29,Alabama,996.0,1053,982,29153,1.42516202080362
17,2017-05-06,Alabama,907.0,1046,975,29153,0.0
18,2017-05-13,Alabama,1064.0,1041,972,29153,9.46490078237786
19,2017-05-20,Alabama,998.0,1037,967,29153,3.20649091918604
20,2017-05-27,Alabama,988.0,1031,961,29153,2.81093711437468
21,2017-06-03,Alabama,925.0,1026,957,29153,0.0
22,2017-06-10,Alabama,984.0,1020,952,29153,3.36213868523765
23,2017-06-17,Alabama,918.0,1017,949,29153,0.0
24,2017-06-24,Alabama,961.0,1011,946,29153,1.58502170650535
25,2017-07-01,Alabama,925.0,1012,946,29153,0.0
26,2017-07-08,Alabama,954.0,1010,943,29153,1.16674438157972
27,2017-07-15,Alabama,968.0,1010,943,29153,2.6502034762203
28,2017-07-22,Alabama,964.0,1009,944,29153,2.11952863128588
29,2017-07-29,Alabama,888.0,1008,941,29153,0.0
30,2017-08-05,Alabama,949.0,1006,941,29153,0.850364313891792
31,2017-08-12,Alabama,936.0,1008,941,29153,0.0
32,2017-08-19,Alabama,933.0,1011,946,29153,0.0
33,2017-08-26,Alabama,917.0,1011,946,29153,0.0
34,2017-09-02,Alabama,953.0,1015,947,29153,0.633306483510335
35,2017-09-09,Alabama,960.0,1019,951,29153,0.945938941391889
36,2017-09-16,Alabama,968.0,1021,955,29153,1.36075046691882
37,2017-09-23,Alabama,995.0,1025,959,29153,3.75364770056049
38,2017-09-30,Alabama,1019.0,1032,964,29153,5.7082827012102
39,2017-10-07,Alabama,948.0,1041,969,29153,0.0
40,2017-10-14,Alabama,986.0,1045,974,29153,1.23248606362175
41,2017-10-21,Alabama,966.0,1056,984,29153,0.0
42,2017-10-28,Alabama,941.0,1066,992,29153,0.0
43,2017-11-04,Alabama,994.0,1077,1003,29153,0.0
44,2017-11-11,Alabama,994.0,1087,1011,29153,0.0
45,2017-11-18,Alabama,982.0,1100,1022,29153,0.0
46,2017-11-25,Alabama,1004.0,1116,1037,29153,0.0
47,2017-12-02,Alabama,1067.0,1124,1045,29153,2.10540566484793
48,2017-12-09,Alabama,1074.0,1136,1056,29153,1.70453587887183
49,2017-12-16,Alabama,1120.0,1141,1063,29153,5.363048164396
50,2017-12-23,Alabama,1098.0,1148,1072,29153,2.42557490346175
51,2017-12-30,Alabama,1080.0,1154,1079,29153,0.092678619527293
52,2018-01-06,Alabama,1248.0,1157,1082,29153,15.3447612637182
53,2018-01-13,Alabama,1301.0,1161,1089,29153,19.4701221876049
54,2018-01-20,Alabama,1275.0,1163,1092,29153,16.7575700554423
55,2018-01-27,Alabama,1286.0,1162,1091,29153,17.8655518758075
56,2018-02-03,Alabama,1147.0,1165,1093,29153,4.93953689847731
57,2018-02-10,Alabama,1181.0,1158,1086,29153,8.75106477245054
58,2018-02-17,Alabama,1096.0,1151,1079,29153,1.5749031012202
59,2018-02-24,Alabama,1099.0,1146,1073,29153,2.42332924727327
60,2018-03-03,Alabama,985.0,1131,1060,29153,0.0
61,2018-03-10,Alabama,1059.0,1129,1054,29153,0.474342919675769
62,2018-03-17,Alabama,1086.0,1123,1049,29153,3.52687772306583
63,2018-03-24,Alabama,993.0,1115,1041,29153,0.0
64,2018-03-31,Alabama,995.0,1103,1030,29153,0.0
65,2018-04-07,Alabama,1012.0,1098,1024,29153,0.0
66,2018-04-14,Alabama,1026.0,1079,1010,29153,1.58362148548026
67,2018-04-21,Alabama,1031.0,1072,1004,29153,2.68980486822684
