date,type,name,thresholds__advisory,phys_size_sum,log_size_sum,thresholds__hard,thresholds__soft
2023-12-20,nfs,aaz,9895604649984.0,6007499494912,4669356562268,10995116277760,
2023-12-07,nfs,aaz,9895604649984.0,5473314787840,4211489715535,10995116277760,
2023-12-18,nfs,aaz,9895604649984.0,6007884664320,4668807230865,10995116277760,
2023-12-06,nfs,aaz,9895604649984.0,5430120384000,4174713831960,10995116277760,
2023-12-16,nfs,aaz,9895604649984.0,6011348808704,4668282863413,10995116277760,
2023-12-13,nfs,aaz,9895604649984.0,6021061904896,4666529548224,10995116277760,
2023-12-15,nfs,aaz,9895604649984.0,6009379355648,4666813800138,10995116277760,
2023-12-10,nfs,aaz,9895604649984.0,5477058606080,4220085742880,10995116277760,
2023-12-11,nfs,aaz,9895604649984.0,5591222848000,4314853285745,10995116277760,
2023-12-19,nfs,aaz,9895604649984.0,6007402466304,4669213640253,10995116277760,
2023-12-03,nfs,aaz,9895604649984.0,5404615791616,4154896221446,10995116277760,
2023-12-12,nfs,aaz,9895604649984.0,6037987091968,4665915845750,10995116277760,
2023-12-02,nfs,aaz,9895604649984.0,5404188072960,4154581744980,10995116277760,
2023-12-01,nfs,aaz,9895604649984.0,5403390468096,4154195380999,10995116277760,
2023-12-09,nfs,aaz,9895604649984.0,5477058606080,4220085742880,10995116277760,
2023-12-17,nfs,aaz,9895604649984.0,6011348808704,4668282863413,10995116277760,
2023-12-04,nfs,aaz,9895604649984.0,5406226601984,4156102472726,10995116277760,
2023-12-08,nfs,aaz,9895604649984.0,5473314787840,4211489715535,10995116277760,
2023-12-14,nfs,aaz,9895604649984.0,6021061904896,4666529548224,10995116277760,
2023-12-05,nfs,aaz,9895604649984.0,5406226601984,4156102472726,10995116277760,
2023-12-03,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-10,nfs,ajs17,989560464998.0,602319834112,432779649569,1099511627776,
2023-12-02,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-13,nfs,ajs17,989560464998.0,602676022784,432779649569,1099511627776,
2023-12-09,nfs,ajs17,989560464998.0,602319834112,432779649569,1099511627776,
2023-12-17,nfs,ajs17,989560464998.0,602762359808,432779649569,1099511627776,
2023-12-04,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-11,nfs,ajs17,989560464998.0,602608271360,432779649569,1099511627776,
2023-12-05,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-16,nfs,ajs17,989560464998.0,602762359808,432779649569,1099511627776,
2023-12-15,nfs,ajs17,989560464998.0,602765012480,432779649569,1099511627776,
2023-12-14,nfs,ajs17,989560464998.0,602676022784,432779649569,1099511627776,
2023-12-08,nfs,ajs17,989560464998.0,602319807488,432779649569,1099511627776,
2023-12-18,nfs,ajs17,989560464998.0,602762359808,432779649569,1099511627776,
2023-12-12,nfs,ajs17,989560464998.0,602675848192,432779649569,1099511627776,
2023-12-06,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-19,nfs,ajs17,989560464998.0,602762359808,432779649569,1099511627776,
2023-12-01,nfs,ajs17,989560464998.0,602186611200,432779649569,1099511627776,
2023-12-07,nfs,ajs17,989560464998.0,602319807488,432779649569,1099511627776,
2023-12-20,nfs,ajs17,989560464998.0,602762359808,432779649569,1099511627776,
2023-12-15,nfs,av21,14843406974976.0,6489131119616,4485424630708,16492674416640,
2023-12-03,nfs,av21,14843406974976.0,6596364852224,4483594731069,16492674416640,
2023-12-10,nfs,av21,14843406974976.0,6537947221504,4483820326557,16492674416640,
2023-12-19,nfs,av21,14843406974976.0,6491173448192,4486994043658,16492674416640,
2023-12-12,nfs,av21,14843406974976.0,6502376309760,4485420771191,16492674416640,
2023-12-01,nfs,av21,14843406974976.0,6593474853376,4481577903810,16492674416640,
2023-12-17,nfs,av21,14843406974976.0,6489016268288,4485424630708,16492674416640,
2023-12-04,nfs,av21,14843406974976.0,6596364852224,4483594731069,16492674416640,
2023-12-08,nfs,av21,14843406974976.0,6581273232384,4483596400032,16492674416640,
2023-12-20,nfs,av21,14843406974976.0,6491167353344,4486994043658,16492674416640,
2023-12-05,nfs,av21,14843406974976.0,6596364852224,4483594731069,16492674416640,
2023-12-14,nfs,av21,14843406974976.0,6499093585920,4485424630625,16492674416640,
2023-12-09,nfs,av21,14843406974976.0,6537947221504,4483820326557,16492674416640,
2023-12-11,nfs,av21,14843406974976.0,6526957614592,4483820326557,16492674416640,
2023-12-13,nfs,av21,14843406974976.0,6499093585920,4485424630625,16492674416640,
2023-12-16,nfs,av21,14843406974976.0,6489016268288,4485424630708,16492674416640,
2023-12-06,nfs,av21,14843406974976.0,6596481025536,4483594731069,16492674416640,
2023-12-02,nfs,av21,14843406974976.0,6596085203968,4483398896993,16492674416640,
2023-12-07,nfs,av21,14843406974976.0,6581273232384,4483596400032,16492674416640,
2023-12-18,nfs,av21,14843406974976.0,6489012172288,4485424630708,16492674416640,
2023-12-04,nfs,bioc,98956046499840.0,7374664753152,3227344910220,109951162777600,
2023-12-19,nfs,bioc,98956046499840.0,7527482899456,3250119731444,109951162777600,
2023-12-17,nfs,bioc,98956046499840.0,7529422387200,3250119731444,109951162777600,
2023-12-08,nfs,bioc,98956046499840.0,7465918046208,3250119731444,109951162777600,
2023-12-15,nfs,bioc,98956046499840.0,7526904188416,3250119731444,109951162777600,
2023-12-12,nfs,bioc,98956046499840.0,7508315717632,3250119731444,109951162777600,
2023-12-03,nfs,bioc,98956046499840.0,7124089939456,3100327185387,109951162777600,
2023-12-18,nfs,bioc,98956046499840.0,7529199734784,3250119731444,109951162777600,
2023-12-01,nfs,bioc,98956046499840.0,6960162510848,3013215891461,109951162777600,
2023-12-20,nfs,bioc,98956046499840.0,7527459699712,3250119731444,109951162777600,
2023-12-14,nfs,bioc,98956046499840.0,7512201711104,3250119731444,109951162777600,
2023-12-10,nfs,bioc,98956046499840.0,7473823994368,3250119731444,109951162777600,
2023-12-05,nfs,bioc,98956046499840.0,7374664753152,3227344910220,109951162777600,
2023-12-13,nfs,bioc,98956046499840.0,7512201711104,3250119731444,109951162777600,
2023-12-11,nfs,bioc,98956046499840.0,7486039710208,3250119731444,109951162777600,
2023-12-06,nfs,bioc,98956046499840.0,7438013700096,3244795978061,109951162777600,
2023-12-16,nfs,bioc,98956046499840.0,7529422387200,3250119731444,109951162777600,
2023-12-07,nfs,bioc,98956046499840.0,7465918046208,3250119731444,109951162777600,
2023-12-02,nfs,bioc,98956046499840.0,6997918445568,3035759231887,109951162777600,
2023-12-09,nfs,bioc,98956046499840.0,7473823994368,3250119731444,109951162777600,
2023-12-01,nfs,bonner,98956046499840.0,7081789807104,5114886652544,109951162777600,
2023-12-18,nfs,bonner,98956046499840.0,6909139045376,5114886652544,109951162777600,
2023-12-06,nfs,bonner,98956046499840.0,7081784007168,5114886652544,109951162777600,
2023-12-02,nfs,bonner,98956046499840.0,7081789807104,5114886652544,109951162777600,
2023-12-11,nfs,bonner,98956046499840.0,7039855185408,5114886652544,109951162777600,
2023-12-04,nfs,bonner,98956046499840.0,7081789807104,5114886652544,109951162777600,
2023-12-16,nfs,bonner,98956046499840.0,6944756944384,5114886652544,109951162777600,
2023-12-12,nfs,bonner,98956046499840.0,7009575328256,5114886652544,109951162777600,
2023-12-13,nfs,bonner,98956046499840.0,7000021642752,5114886652544,109951162777600,
2023-12-08,nfs,bonner,98956046499840.0,7051035302912,5114886652544,109951162777600,
2023-12-09,nfs,bonner,98956046499840.0,7043910571520,5114886652544,109951162777600,
2023-12-03,nfs,bonner,98956046499840.0,7081789807104,5114886652544,109951162777600,
2023-12-14,nfs,bonner,98956046499840.0,7000021642752,5114886652544,109951162777600,
2023-12-05,nfs,bonner,98956046499840.0,7081789807104,5114886652544,109951162777600,
2023-12-20,nfs,bonner,98956046499840.0,6906922809344,5114886654472,109951162777600,
2023-12-19,nfs,bonner,98956046499840.0,6908468262912,5114886652544,109951162777600,
2023-12-17,nfs,bonner,98956046499840.0,6944756944384,5114886652544,109951162777600,
2023-12-10,nfs,bonner,98956046499840.0,7043910571520,5114886652544,109951162777600,
2023-12-15,nfs,bonner,98956046499840.0,6958468725760,5114886652544,109951162777600,
2023-12-07,nfs,bonner,98956046499840.0,7051035302912,5114886652544,109951162777600,
2023-12-05,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-18,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-08,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-17,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-06,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-09,nfs,br1,483183820800.0,147456,202,536870912000,
2023-12-15,nfs,br1,483183820800.0,147456,202,536870912000,
